hotspot_id,dominant_junction,historical_CHI,pred_7d_violations,pred_7d_CHI
HS_8960145b59bffff,BTP082 - KR Market Junction,100.0,456.4710534667969,98.46304077148437
HS_8960145b543ffff,BTP057 - Anand Rao Junction,99.17757279644862,258.8077795846122,100.0
HS_8960145b427ffff,BTP044 - Sagar Theatre Junction,98.64285093499954,245.94525931222097,84.80661825997488
HS_8960145b55bffff,BTP058 - Subbanna Junction,97.19966743718106,155.9342431640625,100.0
HS_8960145b553ffff,BTP040 - Elite Junction,94.6405084418957,381.2609710693359,81.81142116001674
HS_8961892e9abffff,BTP051 - Safina Plaza Junction,94.30590291918972,353.0443346296038,100.0
HS_8960145b5cbffff,BTP044 - Sagar Theatre Junction,93.89670765263112,155.31481414794922,65.57944155011859
HS_89618925b6fffff,BTP082 - KR Market Junction,93.472539213662,51.8537873513358,65.94510929652623
HS_8961892e9bbffff,BTP051 - Safina Plaza Junction,91.28261452174118,317.0336785452707,100.0
HS_8960145b3a7ffff,BTP027 - Modi Bridge Junction,91.107562723426,208.96792406354632,73.91836022513253
HS_8961892e937ffff,BTP211 - Central Street Junction,91.02835467952298,73.8006515284947,60.78712951660156
HS_8960145b307ffff,"BTP001 - 10th Cross, Dr. Rajkumar Road",90.73764964806864,148.55346923828122,100.0
HS_89618925b2bffff,BTP104 - Medical College Circle,90.4969503256432,116.5738687787737,100.0
HS_89618925b67ffff,BTP082 - KR Market Junction,90.374644091074,40.746602717808315,70.67406110491072
HS_8960145b16bffff,BTP027 - Modi Bridge Junction,90.25447390554748,123.6043053654262,90.31464977809361
HS_8960145b58bffff,"BTP083 - AS Char Street, Mysore Road",89.67207523418345,43.13140522548131,57.87091850280762
HS_89618925b63ffff,"BTP080 - NR Road, SP Road Junction",89.03864668644012,59.71234488351005,69.81566393171038
HS_8960145b54bffff,BTP057 - Anand Rao Junction,88.47843827771187,41.33199201311384,66.02418485369002
HS_89618925b7bffff,"BTP080 - NR Road, SP Road Junction",88.10475063751375,85.89737291608537,70.51275107247488
HS_8960145b3b7ffff,BTP008 - Navarang Theatre,86.55162457903553,100.83536102294921,100.0
HS_8960145a69bffff,BTP108 - Tagore Park Junction,85.98865081117624,53.73453063964843,92.58017700195312
HS_8961892e9a3ffff,BTP051 - Safina Plaza Junction,85.82497394610004,75.7384428187779,78.50552272251674
HS_8961892e933ffff,BTP211 - Central Street Junction,85.06927221120569,38.198699210030696,58.794971400669645
HS_8960145a6d7ffff,BTP108 - Tagore Park Junction,84.39024709808734,43.55268180847168,86.67117561340332
HS_8960145a2b7ffff,"BTP095 - Satellite Bus Stand, Mysore Road",84.34788548358726,57.201532690865655,90.44090864998954
HS_8960145b323ffff,BTP023 - Mahalaxmi Layout Entrance,84.0973670949712,55.311847948346816,100.0
HS_8961892e917ffff,No Junction,83.35189470114784,359.69105163574216,100.0
HS_89618925b03ffff,BTP192 - Urvashi Theater,83.24445248059362,52.29610604422433,100.0
HS_8960145b5c7ffff,BTP043 - Upparpet Junction,83.23932326271716,83.02019500732422,66.49733215332031
HS_8960145b437ffff,BTP038 - Mysore Bank Junction,82.81080764200436,30.05630661010742,57.9207649230957
HS_8960145b147ffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",82.2655423110659,121.06163612365722,100.0
HS_8960145b52bffff,BTP074 - Leprosy Hospital Junction,81.12759584579688,26.30083995819092,61.08932431902205
HS_8960145b49bffff,BTP063 - Siddalingaiah Circle,80.96553064870633,36.279694508143834,79.01717022487095
HS_8960145a26bffff,BTP020 - Hosahalli Metro Station,80.88501162393172,75.9012744140625,56.3952902494158
HS_8961892e2bbffff,No Junction,80.85439315835023,306.15458129882813,100.0
HS_8961892e9afffff,BTP211 - Central Street Junction,80.65885236284383,26.24201447623117,58.47807606288365
HS_8960145b547ffff,BTP048 - Shanthala Junction,80.46521625194275,44.00182077680315,72.25138571602957
HS_8960145b423ffff,BTP058 - Subbanna Junction,80.01377543874962,35.502459335327146,61.013842773437496
HS_89618925b2fffff,BTP104 - Medical College Circle,79.78332842097198,30.366911849975587,65.23653610229492
HS_8960145b4cbffff,BTP042 - Minsk Square Junction (CTO),79.47051737598946,39.85040415082659,53.813152182442806
HS_8960145b32bffff,BTP023 - Mahalaxmi Layout Entrance,79.27665471277248,53.14249703543526,100.0
HS_8960145b5dbffff,BTP038 - Mysore Bank Junction,79.18562697191821,33.49015805380685,54.80985554286412
HS_8960145b18bffff,BTP010 - Rajajinagar Entrance,79.18454889890519,23.28124377659389,62.31704119001116
HS_8960169052fffff,No Junction,78.90174916722121,48.173677455357144,65.6958119419643
