hotspot_id,dominant_junction,historical_CHI,pred_24h_CHI,chi_pct_change
HS_8961892ebc7ffff,No Junction,35.77230263968731,100.0,179.54588500281713
HS_8961892c3c7ffff,No Junction,36.81468236143349,96.96003,163.37326138015155
HS_89618925133ffff,No Junction,39.148245152694535,100.0,155.43929136531705
HS_8961892ed1bffff,No Junction,39.1830270012266,100.0,155.2125439335495
HS_8961892c9b3ffff,No Junction,36.26079421805825,85.22359,135.02956533061976
HS_896189219cfffff,No Junction,44.204426684036555,100.0,126.22168751283178
HS_8961892cb43ffff,No Junction,41.95808517627867,94.16245,124.42028110231631
HS_89618925123ffff,No Junction,42.07439615023395,90.93285,116.12396616231612
HS_8960145b24fffff,No Junction,45.13484572672726,90.93285,101.46929104242679
HS_8961892ee9bffff,No Junction,49.81782551626804,100.0,100.73136264718127
HS_89618925807ffff,BTP126 - Dairy Circle,36.575883926221344,72.47711,98.15546211433383
HS_89618925833ffff,No Junction,28.044457133279792,55.16684,96.71209657377892
HS_8961892086bffff,No Junction,51.789627744246104,100.0,93.0888565058476
HS_89601458037ffff,No Junction,38.704306337954925,74.66404,92.90886900251198
HS_8960145b02fffff,No Junction,42.83697558875099,81.28534,89.75508480298578
HS_8960145a687ffff,No Junction,45.39055447607207,85.22359,87.75621496551445
HS_89618924c3bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892cc2bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_896189262d3ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892607bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8960145908bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892ce57ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89618925447ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892e377ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892524bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_896016961bbffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8960169118fffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8960169618fffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89601459e7bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892cdc7ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8960145a4c3ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892ea1bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892ccafffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_896014593a3ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8960145ac37ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_896014512a7ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892c3b3ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892ec37ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89618926acbffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89601451097ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89601680c3bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892d80fffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892c10bffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_89618924077ffff,No Junction,19.568955461842393,36.470924,86.37133928050605
HS_8961892410fffff,No Junction,19.568955461842393,36.470924,86.37133928050605
